ID_Caso,Fecha_Inicio,Tipo_Causa,Estado_Actual,Juzgado,Partes,Materia,Fecha_Ultima_Movimiento,Tiempo_Proceso_Dias,Fallo,Instancia,Tiene_Recurso,Documentos_Adjuntos
1,2020-09-27,Laboral,Apelación,Juzgado 11 de San Juan,Delfina Mansilla vs. Lautaro Molina Rodriguez,Quiebra,2022-01-02 23:50:21.458638,462,Desfavorable,Corte Suprema,Sí,12
2,2022-06-29,Civil,Ejecución,Juzgado 2 de Posadas,Benjamin Valentin Martin vs. Ivan Avila,Robo,2022-11-16 21:39:05.794713,140,Conciliación,Cámara de Apelaciones,Sí,1
3,2021-07-28,Civil,Pendiente de Juicio,Juzgado 10 de Neuquén,Alfonsina Luz Maria Cruz vs. Valentino Santino Benjamin Cabrera,Despido,2024-07-03 17:35:01.289334,1071,Desfavorable,Corte Suprema,Sí,12
4,2020-08-01,Civil,Ejecución,Juzgado 6 de San Miguel de Tucumán,Dr(a). Martina Juarez vs. Felicitas Luisana Ferreyra Gimenez,Daños y Perjuicios,2022-11-18 11:28:38.652783,839,Favorable,Cámara de Apelaciones,Sí,23
5,2021-01-20,Civil,Apelación,Juzgado 1 de Paraná,Matilda Muñoz vs. Simon Farias,Robo,2023-05-11 20:34:52.561409,841,Desfavorable,Cámara de Apelaciones,Sí,41
6,2020-04-14,Civil,En Curso,Juzgado 6 de Rawson,Franco Ian Garcia vs. Ignacio Maria Emilia Luna,Despido,2022-02-07 04:32:06.946119,664,Desfavorable,Cámara de Apelaciones,Sí,28
7,2024-02-27,Civil,En Curso,Juzgado 3 de Constitución,Sr(a). Alma Valentina Gimenez vs. Lola Francesco Diaz Acuña,Despido,2024-12-18 13:48:38.760297,295,Desfavorable,Primera Instancia,Sí,42
8,2022-01-13,Penal,Apelación,Juzgado 14 de Santiago del Estero,Luz Milagros Perez Fernandez vs. Dr(a). Tobias Ramirez,Daños y Perjuicios,2024-04-26 18:05:22.036787,834,Sin Definir,Corte Suprema,No,4
9,2025-01-31,Comercial,Apelación,Juzgado 1 de San Ferando del Valle de Catamarca,Dr(a). Juliana Gonzalez vs. Lautaro Pedro Garcia,Despido,2025-03-12 07:31:25.393198,40,Conciliación,Cámara de Apelaciones,No,26
10,2024-07-25,Comercial,Ejecución,Juzgado 2 de Resistencia,Genaro Juan Cruz Paz vs. Helena Justina Vega Fernandez,Robo,2024-12-26 01:36:58.472877,154,Favorable,Corte Suprema,No,7
