ID_Caso,Fecha_Inicio,Tipo_Contrato,Entidad_Publica,Empresa_Privada,Monto_Contrato,Descripcion_Servicio,Estado_Contrato,Funcionario_Publico,Relacion_Funcionario_Empresa,Pagos_Realizados,Monto_Pagado,Informacion_Adicional,Sospecha_Corrupcion
1,2023-05-22,Suministro,Municipalidad de Formosa,Cruz Inc,589602.5535763452,Exercitationem maxime eaque harum pariatur molestiae aut explicabo officia voluptatem.,Finalizado,Ian Ezequiel Ayala,Ninguna,2,359478.1712613686,,0
2,2022-11-17,Obra Pública,Gobierno de La Plata,Ramirez-Valdez,26898.222315689447,Omnis molestiae labore exercitationem voluptatibus architecto incidunt error autem sed molestiae ducimus molestias occaecati labore illo.,En Curso,Juan Sebastian Rodriguez Castillo,Interés Económico,0,44275.615450412326,Tempora tempore quaerat cumque nemo.,0
3,2024-06-30,Servicios,Gobierno de La Plata,Lopez-Paez,415140.8537357257,Laboriosam fuga deleniti velit quas quod possimus mollitia ad libero quod neque vitae quidem quasi aut sunt officia odio harum.,Rescindido,Dr(a). Dante Gomez,Familiar,6,477573.1450129386,Cum facere est repellat.,0
4,2022-04-01,Consultoría,Gobierno de Corrientes,Nuñez PLC,400776.36870008096,Quae error in temporibus praesentium expedita nemo illum quam.,Finalizado,Bautista Facundo Romero,Amistad,2,865375.714717717,Explicabo dolores animi expedita assumenda ducimus ea.,0
5,2023-03-16,Consultoría,Municipalidad de La Plata,Escobar and Sons,508190.99027317157,Alias laboriosam atque voluptates molestias magnam dolor tempore ducimus sit quasi beatae in corrupti ut repellendus eius fuga.,En Curso,Bianca Herrera Perez,Interés Económico,7,348472.5899870143,Quas nemo eius asperiores blanditiis. Animi nostrum dolorem necessitatibus.,0
6,2023-07-10,Servicios,Gobierno de La Plata,Rodriguez Inc,200032.70301186584,Ex dolorem dignissimos distinctio inventore numquam ipsam alias similique.,En Curso,Lautaro Nahuel Villalba Ponce,Interés Económico,7,506581.60207045445,Magnam dolorum laboriosam aperiam. Labore non officia qui.,0
7,2024-09-30,Consultoría,Municipalidad de Corrientes,Gonzalez LLC,690556.0087973793,Cumque iusto expedita quaerat mollitia quibusdam facere mollitia deserunt aspernatur molestias maxime ex quod.,Pendiente,Joaquin Juan Gabriel Lopez Rios,Familiar,8,107478.17196782026,,0
8,2022-07-17,Consultoría,Gobierno de Corrientes,"Muñoz, Castillo and Molina",504716.32898790966,Cupiditate ducimus deleniti aperiam quo corporis officiis quibusdam nostrum nihil quam numquam qui tempore officiis vero et quo.,Pendiente,Josefina Manuel Caceres Olivera,Amistad,6,370160.95638072945,Tenetur sed aut assumenda perferendis.,0
9,2022-04-08,Consultoría,Gobierno de Paraná,Morales LLC,911057.6961001321,Sunt non illum quasi ad architecto sit numquam quo ut animi qui.,En Curso,Isabella Valentin Gomez,Familiar,5,693153.975723199,,0
10,2022-05-04,Servicios,Gobierno de Mendoza,Morales-Perez,120130.31815720069,Quas id fugit earum id nostrum dolorum officia accusamus laboriosam voluptas fugit mollitia aliquam.,En Curso,Gonzalo Miranda Paz,Interés Económico,5,673083.5367998754,,0
