ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Justina Castro,Director,Ruiz-Juarez,2022,725862.582531032,374172.9086067444,70581.23551869844,17293.122100825396,62953.23485748685,-4.977186699773336,0
2,Sr(a). Josefina Roldan,Director,Leiva-Aguero,2022,540602.5237884301,92803.29501530832,162544.4665029832,47596.36557872955,98981.30427054394,14.654990106856678,0
3,Maria Victoria Mansilla,Ministro,Ponce-Escobar,2022,896740.8406063381,259441.8049880487,63007.868829418214,76241.6264257867,163947.49106076444,15.496073598111119,0
4,Delfina Lopez Gomez,Director,"Ramirez, Gomez and Acosta",2023,49428.58997093558,269473.9245025527,280394.47879828454,52415.17313475673,64705.18097412148,42.609293639380496,0
5,Thiago Lionel Juan Bautista Leiva,Secretario,Leiva-Mendez,2022,1125059.1976251663,323189.47835475585,164682.89605416614,94132.5422508994,87241.96492008692,0.5711361460156689,0
6,Ema Pedro Alvarez,Secretario,Acuña-Garcia,2023,39100.40651342944,407020.7736322187,64310.80944302812,94692.17142255708,96914.32880815203,39.69268776783652,0
7,Olivia Cardozo,Secretario,Vega Inc,2021,764023.8213334809,323762.528323864,72108.04077474828,6077.655756273503,183628.1821378803,30.89705494988172,0
8,Maria Victoria Escobar,Asesor,Martinez-Diaz,2022,581209.2110924323,11835.086265632066,290147.9585458089,9234.011515491802,166901.6679296169,33.4761051343597,0
9,Dr(a). Bastian Suarez,Secretario,Bravo Ltd,2024,852781.3560896509,29782.559202435445,241048.6058102306,36810.911349634844,177680.95473488822,49.2290225666617,0
10,Genaro Alvarez,Asesor,Moreno LLC,2021,177100.01809877262,439791.6056546544,298162.145556865,51066.29208829484,98640.07061914439,4.4320261157050735,0
11,Maximo Martinez,Secretario,Paez and Sons,2021,1398826.9936306698,411143.35457796894,119774.09327150394,82044.33757667089,90906.86170391447,-3.304285642136569,0
12,Sr(a). Gael Barrios,Asesor,"Carrizo, Herrera and Molina",2020,413293.6238417674,499690.86841574346,33269.893651942504,52874.9370081789,76891.74775567505,-2.14209863888071,0
13,Thiago Agustin Isabella Nuñez,Asesor,Mendoza and Sons,2021,1446962.0972239329,376806.4591182794,3092.915115120154,37987.83819668044,187279.35304346008,1.229213395795202,0
14,Alma Valentina Ruiz Cabrera,Asesor,"Hernandez, Gonzalez and Vera",2020,1447915.8505003576,478964.5272656675,61365.78605105365,59615.695433592184,63583.046654955935,42.571793544368575,0
15,Santiago Santino Castillo,Director,Sanchez Group,2021,705192.7689608232,1141.0859143032858,101538.14190152969,88096.16761841564,82452.4053588224,39.41546766023423,0
16,Juan Rodriguez Alvarez,Director,Maidana-Gonzalez,2020,679939.4702835334,111456.5659100073,3391.0720091174685,72375.73030760541,190134.17398666963,-3.4599822528493656,0
17,Ignacio Lourdes Soto Benitez,Ministro,"Gonzalez, Moreno and Pereyra",2020,539071.1196012406,234286.66533444254,40691.27923313074,59553.7203944537,105392.11114742706,3.5032117417192614,0
18,Catalina Delfina Acosta,Secretario,"Cabrera, Gonzalez and Gutierrez",2023,692383.3653419681,388034.2493722665,84612.75561671119,60371.352645865205,173111.9909421021,-0.8183817010867775,0
19,Juan Ignacio Rodriguez Rodriguez,Secretario,Vega-Gonzalez,2023,830314.0646252976,309307.49413019663,214018.11451322524,54184.58738803712,174511.4715696744,11.983056556673223,0
20,Maria Paz Milo Bustos Gomez,Secretario,Peralta and Sons,2024,230611.7445245543,165409.35314175504,51745.1202311039,6216.840911769461,153949.61256478145,4.036134287479901,0
21,Juan Cruz Gonzalez,Secretario,Gomez PLC,2022,1208554.606908013,222499.4533073475,76240.34703706494,311.40211271798444,79615.35704380905,1.028784682497709,0
22,Clara Juan Ignacio Rodriguez Caceres,Director,"Fernandez, Muñoz and Alvarez",2020,757204.6900728313,329276.88493757043,265134.4328010096,20369.32872332712,119616.33705439481,15.210392584871583,0
23,Alma Malena Medina Rodriguez,Secretario,"Romero, Gimenez and Rodriguez",2024,392012.10529193166,263699.4056931553,46680.41327873689,60382.27100602726,52151.616540459254,-5.721959168443895,0
24,Salvador Pereyra,Ministro,"Dominguez, Castillo and Torres",2022,289505.8563032761,111942.49014387059,276961.9375225214,50212.89639226131,87782.4890880004,20.306075765378605,0
25,Victoria Delfina Ojeda,Director,Lucero Group,2023,250210.54516039032,214291.3791639937,195641.83263438006,84960.98532225139,70140.12778239937,44.855573906918714,0
26,Lola Abigail Romero Ponce,Secretario,Alvarez-Coronel,2022,449808.01914940093,141717.79728331298,150720.91066873894,1497.1397693548715,191803.27563734798,37.26268090724047,0
27,Mateo Catalina Cardozo Torres,Director,"Cabrera, Lopez and Coronel",2020,1348257.4661960988,275622.8053719315,210321.48099650795,1883.6990575024527,80501.84876769602,32.86016296169382,0
28,Juana Avila Mendoza,Director,"Gutierrez, Rojas and Acosta",2024,1106200.926799629,351260.39947707637,193096.14174565388,86129.70206832959,62688.06276271072,1.8906277104062092,0
29,Tomas Benjamin Isabella Ayala Paz,Secretario,Fernandez and Sons,2021,509163.03518979944,329569.576178513,235095.76660457853,29397.80402716802,180102.12356545965,48.30396434158533,0
30,Dr(a). Maria Belen Juarez,Secretario,Ledesma Ltd,2023,88179.39595659485,93965.95872308794,11148.778747334909,99479.41235404313,82152.2080936377,24.088216483150745,0
