ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Patrimonio_Total,Patrimonio_2024,Patrimonio_2023,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Sofia Quiroga Fernandez,Asesor,"Ramirez, Gonzalez and Soto",2023,1119877.97,262283.07,225623.99,39145.02,190958.58,1568640.01,1568640.01,1568640.01,0.0,0
2,Clara Mia Valentina Romero,Asesor,"Aguero, Lopez and Garcia",2023,1267850.17,256864.53,30637.26,13787.92,137593.43,1541564.04,1541564.04,1541564.04,0.0,0
3,Mora Godoy Flores,Ministro,"Ferreyra, Rodriguez and Ruiz",2023,162194.5,158758.42,74542.62,53218.98,75998.66,342276.56000000006,342276.56000000006,342276.56000000006,0.0,0
4,Lautaro Ludmila Morales Sosa,Director,Nuñez Ltd,2023,1017161.32,320049.87,162018.14,57835.68,80981.0,1441393.6500000001,1441393.6500000001,1441393.6500000001,0.0,0
5,Thiago Benjamin Camilo Cruz Gimenez,Director,Luna PLC,2024,433241.53,40439.58,269737.87,56196.08,197232.55,687222.9,687222.9,570395.01,0.205,1
6,Dr(a). Agustín Godoy,Secretario,Rojas Inc,2024,1092113.53,415948.86,28326.75,84432.39,133626.88,1451956.7500000002,1451956.7500000002,1205124.1,0.205,1
7,Delfina Juarez,Ministro,"Vera, Diaz and Torres",2024,1468194.96,328090.15,283462.48,84398.59,134934.23,1995348.9999999998,1995348.9999999998,1656139.67,0.205,1
8,Lucas Lisandro Diaz Suarez,Director,Godoy-Sanchez,2024,1009233.37,275095.91,285249.48,16116.02,151334.19,1553462.74,1553462.74,1289374.07,0.205,1
9,Luciana Pereyra Sosa,Asesor,Ramirez-Rodriguez,2023,1271555.51,164774.93,204057.05,6573.92,195104.15,1633813.57,1633813.57,1633813.57,0.0,0
10,Dr(a). Nahiara Ortiz,Asesor,Martinez-Mendoza,2023,820508.88,90463.8,172489.84,64260.15,189857.76,1019202.37,1019202.37,1019202.37,0.0,0
11,Camila Romero Martinez,Director,"Suarez, Arias and Rodriguez",2023,788366.68,282946.64,170299.41,79363.17,115153.59,1162249.56,1162249.56,1162249.56,0.0,0
12,Bautista Benjamin Gonzalez Quiroga,Director,Romero-Luna,2024,955233.63,267684.39,3372.18,58361.5,103987.86,1167928.7,1167928.7,969380.82,0.205,1
13,Dr(a). Pedro Avila,Director,"Ramirez, Medina and Martinez",2023,1078360.07,357784.75,157167.41,22571.91,57814.08,1570740.32,1570740.32,1570740.32,0.0,0
14,Sofia Belen Valentino Luna Lopez,Ministro,"Villalba, Perez and Quiroga",2024,1498255.44,229007.41,98606.16,1949.15,96640.97,1823919.8599999999,1823919.8599999999,1513853.48,0.205,1
15,Francisco Ojeda,Asesor,Olivera PLC,2024,1414806.52,183606.65,115449.91,11398.77,175110.98,1702464.3099999998,1702464.3099999998,1413045.38,0.205,1
16,Valentina  Bautista Benjamin Fernandez Acuña,Ministro,Sanchez Inc,2024,793036.24,11141.96,43885.7,68458.47,78573.55,779605.4299999999,779605.4299999999,647072.51,0.205,1
17,Gael Angel Gabriel Paez,Asesor,Garcia LLC,2023,467004.64,92730.99,43323.25,88538.13,120255.5,514520.75,514520.75,514520.75,0.0,0
18,Olivia Guzman Dominguez,Director,"Ojeda, Gimenez and Cabrera",2024,575477.21,324593.76,64780.94,51270.24,108636.35,913581.6699999999,913581.6699999999,758272.79,0.205,1
19,Sr(a). Juan Cruz Luna,Secretario,"Velazquez, Muñoz and Ojeda",2024,1211227.21,490969.6,63890.97,68384.99,161818.7,1697702.79,1697702.79,1409093.32,0.205,1
20,Thiago Lionel Joaquin Lopez,Secretario,Gonzalez-Ponce,2023,934487.87,213880.82,109929.81,66215.17,120586.09,1192083.33,1192083.33,1192083.33,0.0,0
21,Ramiro Barrios,Director,"Ferreyra, Perez and Lopez",2023,403422.7,51063.99,85985.88,71658.97,68531.51,468813.6000000001,468813.6000000001,468813.6000000001,0.0,0
22,Sr(a). Francesco Velazquez,Director,Gomez-Ojeda,2023,823621.05,111275.84,279130.62,94321.4,152887.81,1119706.11,1119706.11,1119706.11,0.0,0
23,Candelaria Thiago Farias Bravo,Ministro,Ayala-Sosa,2024,147489.71,378959.96,257083.79,55478.74,69826.44,728054.7200000001,728054.7200000001,604285.42,0.205,1
24,Bautista Maidana,Ministro,Fernandez Ltd,2023,543352.18,163891.08,265055.55,14450.05,73326.56,957848.76,957848.76,957848.76,0.0,0
25,Bautista Aguirre,Secretario,"Garcia, Benitez and Paez",2024,1413716.24,441559.24,251109.32,76268.49,60875.86,2030116.3099999998,2030116.3099999998,1684996.54,0.205,1
26,Maximo Fernandez,Secretario,Fernandez and Sons,2024,175314.04,40480.24,49927.68,68093.12,179615.57,197628.84000000003,197628.84000000003,164031.94,0.205,1
27,Juan Ignacio Miranda Gonzalez,Secretario,Perez PLC,2024,39606.39,25755.31,13408.54,21148.32,167249.15,57621.91999999999,57621.91999999999,47826.19,0.205,1
28,Juan Cruz Gonzalo Fernandez,Ministro,Perez LLC,2024,986294.02,238330.83,27626.33,76724.37,76880.66,1175526.81,1175526.81,975687.25,0.205,1
29,Maria Victoria Rodriguez,Ministro,Ferreyra Inc,2024,819501.29,391964.61,180406.93,95066.97,138240.08,1296805.8599999999,1296805.8599999999,1076348.86,0.205,1
30,Sr(a). Lautaro Dominguez,Ministro,"Garcia, Gonzalez and Martinez",2023,1238386.15,233542.09,137476.57,83951.27,55200.37,1525453.54,1525453.54,1525453.54,0.0,0
