ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Patrimonio_Total,Patrimonio_2024,Patrimonio_2023,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Juan Cruz Franco,Director,"Gomez, Maidana and Rodriguez",2024,1362443.96,256169.67,9223.97,78829.98,128176.96,1549007.6199999999,1549007.6199999999,1285676.32,0.2048192814191365,1
2,Salvador Sanchez Ponce,Asesor,Pereyra-Lopez,2023,273826.3,24683.3,158209.21,38336.68,158583.09,418382.12999999995,418382.12999999995,418382.12999999995,0.0,0
3,Thiago Lionel Diaz Paez,Ministro,"Martinez, Martinez and Caceres",2023,1365886.16,25379.15,231847.87,83869.68,162376.78,1539243.4999999998,1539243.4999999998,1539243.4999999998,0.0,0
4,Lucas Mateo Valentin Dominguez,Asesor,Perez-Villalba,2024,264464.51,255687.24,35944.73,35556.34,95568.99,520540.14,520540.14,432048.32,0.20481926651167168,1
5,Nicolas Martinez,Ministro,Cardozo and Sons,2023,705198.79,313419.23,132978.04,56637.61,145030.94,1094958.45,1094958.45,1094958.45,0.0,0
6,Sr(a). Mora Cabrera,Ministro,Paz Inc,2024,1081142.23,15931.73,33306.35,62878.45,186136.64,1067501.86,1067501.86,886026.54,0.20481928227567547,1
7,Sofia Catalina Bustos Velazquez,Asesor,Vazquez-Ramos,2024,420090.25,144541.34,227942.28,59320.24,55470.18,733253.63,733253.63,608600.51,0.20481928284943435,1
8,Bastian Nuñez Gonzalez,Ministro,Toledo Inc,2023,505841.89,221328.98,225331.36,77917.65,164372.8,874584.58,874584.58,874584.58,0.0,0
9,Francisco Herrera,Secretario,Moreno-Rodriguez,2023,512795.86,106312.43,106101.25,310.63,121393.59,724898.91,724898.91,724898.91,0.0,0
10,Micaela Miranda Molina,Ministro,"Olivera, Romero and Soto",2023,1142366.91,109657.23,276172.03,55194.73,59719.45,1473001.44,1473001.44,1473001.44,0.0,0
11,Milagros Maldonado Sanchez,Asesor,"Fernandez, Sosa and Bustos",2024,887441.8,197210.03,224082.83,50143.89,182783.44,1258590.7700000003,1258590.7700000003,1044630.34,0.20481927607042344,1
12,Samuel Luciano Benjamin Quiroga,Ministro,Fernandez Inc,2024,127574.52,420842.15,222847.2,92016.13,63450.7,679247.7400000001,679247.7400000001,563775.62,0.20481928608406322,1
13,Joaquina Rios,Secretario,"Gonzalez, Perez and Gomez",2023,148060.84,445886.46,81440.6,38389.83,54223.6,636998.0700000001,636998.0700000001,636998.0700000001,0.0,0
14,Rafael Martina Hernandez,Ministro,Correa and Sons,2023,95359.33,213072.69,290507.71,66616.16,69886.02,532323.57,532323.57,532323.57,0.0,0
15,Tiziano Benjamin Tiziano Benjamin Ruiz,Secretario,Fernandez-Duarte,2024,674174.37,285259.05,92681.55,81043.14,162210.77,971071.83,971071.83,805989.62,0.2048192754641182,1
16,Guadalupe Morena Perez Castro,Asesor,Flores-Rodriguez,2023,768147.57,497075.55,56906.64,46600.9,168346.83,1275528.8599999999,1275528.8599999999,1275528.8599999999,0.0,0
17,Federico Gonzalez Mansilla,Director,Morales and Sons,2023,1298520.28,153515.76,197158.93,73067.47,121878.53,1576127.5,1576127.5,1576127.5,0.0,0
18,Agustín Mora Navarro Gutierrez,Secretario,Carrizo-Vega,2023,1471080.38,251697.28,255943.0,40328.24,153820.93,1938392.42,1938392.42,1938392.42,0.0,0
19,Emma Lopez,Secretario,"Romero, Ramirez and Perez",2024,713806.91,76901.12,170419.11,61681.98,78325.94,899445.16,899445.16,746539.48,0.20481928162727583,1
20,Benjamin Ezequiel Soto,Secretario,"Fernandez, Silva and Benitez",2023,82412.9,30099.91,291069.84,65815.24,51003.86,337767.41000000003,337767.41000000003,337767.41000000003,0.0,0
21,Emma Isabella Perez Cabrera,Secretario,"Martinez, Acosta and Torres",2024,1337701.46,449837.41,269208.96,5151.81,93673.39,2051596.0199999998,2051596.0199999998,1702824.7,0.20481927470279226,1
22,Pilar Alma Valentina Escobar,Secretario,Lopez-Guzman,2024,1332610.84,469579.95,196666.39,47582.53,108746.79,1951274.6500000001,1951274.6500000001,1619557.96,0.20481927673647454,1
23,Alvaro Caceres,Secretario,"Martinez, Leiva and Mendoza",2023,1062157.32,253650.92,256731.19,10407.41,131618.7,1562132.02,1562132.02,1562132.02,0.0,0
24,Facundo Paloma Chavez Farias,Secretario,Ojeda-Sosa,2024,1274730.92,97027.52,127287.66,92962.63,156612.99,1406083.4699999997,1406083.4699999997,1167049.28,0.20481927721166984,1
25,Dr(a). Catalina Diaz,Asesor,Lopez LLC,2024,725472.87,307470.88,193640.02,71109.49,81399.25,1155474.28,1155474.28,959043.65,0.20481928012348552,1
26,Santiago Pedro Lucero Romero,Secretario,Cruz-Farias,2024,140478.84,118825.21,133996.92,24021.42,101075.39,369279.55,369279.55,306502.03,0.20481926335039266,1
27,Constanza Muñoz,Secretario,"Mendez, Gomez and Fernandez",2024,1397847.75,238589.84,120309.18,18112.48,114245.27,1738634.29,1738634.29,1443066.46,0.2048192776928653,1
28,Sr(a). Mora Miranda,Asesor,Garcia Inc,2024,1419440.05,119546.6,230514.3,63701.6,189580.07,1705799.35,1705799.35,1415813.46,0.20481927753392043,1
29,Thiago Benjamin Catalina Peralta Cabrera,Ministro,"Franco, Rodriguez and Gonzalez",2023,1012480.92,146402.9,227973.55,92442.9,126199.16,1294414.4700000002,1294414.4700000002,1294414.4700000002,0.0,0
30,Paulina Rodriguez,Secretario,Herrera-Gonzalez,2023,207024.64,318452.29,88846.44,13764.7,106862.74,600558.6699999999,600558.6699999999,600558.6699999999,0.0,0
