ID_Funcionario,Nombre_Funcionario,Cargo,Año,Patrimonio_Total,Ingresos_Anuales
1,Guillermina Manuel Gomez Molina,Asesor,2021,310745.74809023464,184381.383363944
2,Josefina Facundo Alvarez Aguirre,Ministro,2024,1052512.3837771437,140569.2492090715
3,Zoe Jazmin Torres Gonzalez,Ministro,2022,294791.2318385523,90429.65311531209
4,Ignacio Lautaro Ezequiel Fernandez Dominguez,Secretario,2022,1441329.0175826137,177234.33009206568
5,Sr(a). Benicio Rodriguez,Secretario,2024,413521.7060920239,81900.46629852992
6,Candelaria Santino Castillo,Secretario,2022,143288.95795480136,54808.11457173474
7,Alfonsina Juan Cruz Garcia Gonzalez,Ministro,2023,406831.8050793154,144578.87485400704
8,Valentina Acosta Rodriguez,Ministro,2024,225416.22359521606,73946.78996572792
9,Mateo Benjamin Bautista Caceres Juarez,Ministro,2020,444471.2869915355,85946.90812249598
10,Juana Campos Flores,Asesor,2023,790430.5925119263,79824.63736972057
11,Facundo Abigail Perez,Secretario,2020,706588.6128051014,53437.71195281147
12,Dr(a). Alma Benitez,Director,2024,183516.54441700966,52907.52738661376
13,Thiago Lucas Gimenez,Secretario,2020,1052211.6091115002,98175.4294173207
14,Olivia Escobar,Ministro,2020,281576.9690469186,87392.429340291
15,Olivia Gonzalez,Secretario,2022,177856.57823537666,120196.72154948462
16,Olivia Gomez Benitez,Ministro,2023,613262.7067372083,107820.81863994079
17,Dr(a). Thiago Agustin Carrizo,Secretario,2022,1085358.0226206149,65977.49886691291
18,Dr(a). Emma Ruiz,Secretario,2024,518583.04249031923,74116.49332193981
19,Mia Bustos,Asesor,2021,338366.5416490637,174373.5358632817
20,Amparo Catalina Martinez Acosta,Asesor,2023,1042462.8820893867,123429.02604885318
21,Lucía  Isabella Paz Gonzalez,Director,2024,1167884.8974107304,84381.15225805008
22,Milagros Fernandez Carrizo,Secretario,2022,279301.99223028676,53641.86942659842
23,Benicio Duarte Ayala,Secretario,2021,372924.993284593,107356.9649110535
24,Emanuel Gonzalez,Asesor,2020,1003568.6568463342,140991.06556705845
25,Sr(a). Martina Godoy,Director,2021,864806.9972993744,53645.49555529893
26,Camilo Sanchez Rodriguez,Secretario,2021,819806.8373969949,186657.32953529415
27,Sr(a). Santino Agustin Cabrera,Asesor,2022,1362413.0468416458,182205.29603175292
28,Josefina Acosta Gonzalez,Director,2020,892811.307865795,151885.70611743
29,Fausto Maximo Carrizo,Asesor,2021,1327588.1080353253,55359.731544048875
30,Benjamin Flores,Director,2021,692532.9806672068,186726.94244745676
