ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año,Bienes_Inmuebles,Bienes_Muebles,Activos_Financieros,Pasivos,Ingresos,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Jeremias Luisana Gomez Gonzalez,Asesor,"Gomez, Lopez and Ramirez",2022,1010953.6326312863,58742.209584754426,154284.2826414128,59019.654759260186,58496.71526407886,0.06577548874030795,0
1,Jeremias Luisana Gomez Gonzalez,Asesor,"Gomez, Lopez and Ramirez",2023,405370.3362019915,379931.87717143894,232755.13160088143,46957.6435925715,49393.849252418564,0.02405808451270905,0
1,Jeremias Luisana Gomez Gonzalez,Asesor,"Gomez, Lopez and Ramirez",2024,483568.321471362,299126.2432644033,125984.73581464986,69024.09358800472,133564.31507698115,0.13538793658571366,0
2,Vicente Valentin Peralta,Secretario,"Hernandez, Ramirez and Lopez",2022,706751.3825771656,226795.09829960222,18694.889749437752,41446.88894344372,82953.01211266278,-0.023239781104040708,0
2,Vicente Valentin Peralta,Secretario,"Hernandez, Ramirez and Lopez",2023,957932.3896492443,144075.99641026327,125087.779978806,37727.91350968528,126296.0966052566,0.18954045970963726,0
2,Vicente Valentin Peralta,Secretario,"Hernandez, Ramirez and Lopez",2024,732033.9839558982,12074.154511331692,55463.14274177136,47042.87245974939,175077.3834841221,-0.09473412422371691,0
3,Lautaro Renata Rodriguez,Asesor,Sanchez-Ruiz,2022,529489.3366491946,231965.04259501162,183894.82125790193,39548.34014513148,100729.76788494442,0.016219640404534108,0
3,Lautaro Renata Rodriguez,Asesor,Sanchez-Ruiz,2023,368993.99629814475,210694.87059961577,222286.52352486522,51837.87326648285,175012.54453733,0.19906376171080684,0
3,Lautaro Renata Rodriguez,Asesor,Sanchez-Ruiz,2024,133043.7365643654,317451.702224106,135326.5458330421,8770.330541146273,162393.89368405106,0.18978870414542995,0
4,Mateo Cruz Lopez,Secretario,Garcia Ltd,2022,875128.1037015377,166962.220822363,195800.43526474386,24085.341759919575,85591.41679060526,-0.01718216632265221,0
4,Mateo Cruz Lopez,Secretario,Garcia Ltd,2023,105694.89962054264,82922.03885738924,233182.97843302682,29874.61772340013,145184.67682645243,-0.033213860630616696,0
4,Mateo Cruz Lopez,Secretario,Garcia Ltd,2024,568846.2667465631,340704.7804533745,207260.34061786035,76101.91662293738,140918.65650165378,-0.021709546953785436,0
5,Dr(a). Thiago Nahuel Perez,Ministro,Ramirez-Velazquez,2022,1003155.7862127557,313604.86560523993,102282.52911770224,37580.539558077435,171162.53084169247,0.035098750860330846,0
5,Dr(a). Thiago Nahuel Perez,Ministro,Ramirez-Velazquez,2023,965891.7889654449,210682.481001975,12525.152434823689,78260.38485308294,102841.74887189537,-0.08331960392187192,0
5,Dr(a). Thiago Nahuel Perez,Ministro,Ramirez-Velazquez,2024,1045527.963393179,73168.59909813687,149389.7506355679,9439.74931577011,129028.22347978497,0.08801251464786045,0
6,Bastian Santiago Ortiz,Asesor,Rodriguez PLC,2022,1125385.8806233522,121233.74302899235,68265.46670725144,63414.79422287764,152203.18249573692,0.17972925248308366,0
6,Bastian Santiago Ortiz,Asesor,Rodriguez PLC,2023,911250.3968183979,153098.81377586274,29771.908030787832,10163.683320448137,129767.34001382971,0.14024390676986773,0
6,Bastian Santiago Ortiz,Asesor,Rodriguez PLC,2024,545198.115050245,179564.60640890364,169134.91288868964,46591.388045125685,154491.38338562165,0.021879861516426402,0
7,Bautista Benjamin Gonzalez,Secretario,Barrios PLC,2022,997376.1055466913,337918.2953481267,212665.22130215264,36532.06612362414,120183.63771574492,0.10314752964519927,0
7,Bautista Benjamin Gonzalez,Secretario,Barrios PLC,2023,314572.4642891018,218372.0012280574,201409.50344415213,21708.91462261647,173186.71759533108,0.0013745654656278639,0
7,Bautista Benjamin Gonzalez,Secretario,Barrios PLC,2024,408027.0771921007,179908.49656142588,41311.943433898465,16834.349411903844,101062.2606555465,-0.09291589957215032,0
8,Luciana Rodriguez,Asesor,Mendez Inc,2022,96271.35542339405,60869.16723515072,232418.34195463173,45576.351582901974,60513.650432829425,-0.14961075653680017,0
8,Luciana Rodriguez,Asesor,Mendez Inc,2023,497180.98388384713,319084.53673245583,48088.53180206457,72471.78898000268,64155.35027250204,-0.10998622089619514,0
8,Luciana Rodriguez,Asesor,Mendez Inc,2024,222329.43623592347,77786.48441676097,191071.29613903846,71085.6756449268,74346.93159393591,0.17730380643123853,0
9,Sr(a). Gael Gonzalez,Asesor,Olivera-Maidana,2022,1174629.3919552455,164628.96341497873,115944.56896371346,52078.76388343875,172748.84417060178,-0.12033418793813032,0
9,Sr(a). Gael Gonzalez,Asesor,Olivera-Maidana,2023,683077.1904150349,317160.231709101,90426.3867790355,32646.778054541875,75953.54613479675,0.13568848507829992,0
9,Sr(a). Gael Gonzalez,Asesor,Olivera-Maidana,2024,154155.44192235862,158146.11333586494,148385.6034102236,19373.17293772499,113442.11052934547,-0.08011734103537389,0
10,Thiago Gabriel Martin,Director,"Gonzalez, Farias and Gomez",2022,816870.3199837952,112469.90879245175,186721.726718792,30931.96862100329,83884.76038757712,0.02762940827306498,0
10,Thiago Gabriel Martin,Director,"Gonzalez, Farias and Gomez",2023,635209.9914710092,26919.029243121127,9418.132973176063,54301.27587890951,70895.31853562259,0.054105704283060385,0
10,Thiago Gabriel Martin,Director,"Gonzalez, Farias and Gomez",2024,839222.0601986406,282616.54586052184,39495.10865489919,36202.408861662894,119429.12546358214,-0.11691819519960854,0
11,Mia Valentina Isabella Garcia,Director,Cabrera-Rodriguez,2022,20249.8137217209,20771.470898473777,145107.42233866095,9958.043010089215,67608.62861128297,-0.1267985985930584,0
11,Mia Valentina Isabella Garcia,Director,Cabrera-Rodriguez,2023,413548.336218639,182081.72909565063,197319.17732723992,10029.265052602146,311167.2126350248,0.4537501338303607,0
11,Mia Valentina Isabella Garcia,Director,Cabrera-Rodriguez,2024,426721.87082968105,233583.3383693445,242231.24801749285,7110.820144572036,67261.07911459598,0.043829432151138215,0
12,Juan Ignacio Lopez Fernandez,Director,"Alvarez, Martin and Perez",2022,56175.56155071517,201503.3054059118,249039.77278421898,68327.65047578739,160484.95294382732,-0.13410138022665474,0
12,Juan Ignacio Lopez Fernandez,Director,"Alvarez, Martin and Perez",2023,108415.24112813601,60810.138754445165,54065.728177199155,12853.611392243343,78063.10869266526,0.0649039355666427,0
12,Juan Ignacio Lopez Fernandez,Director,"Alvarez, Martin and Perez",2024,965775.0136593889,125624.45459874909,36474.27919833998,78077.99348966792,54197.73965614293,0.060004538524032675,0
13,Sr(a). Mateo Blanco,Asesor,Gonzalez Ltd,2022,10779.971167069169,356945.9137313213,52383.75586495914,29029.658670162356,73758.00583238972,0.048597158797996254,0
13,Sr(a). Mateo Blanco,Asesor,Gonzalez Ltd,2023,123716.77934910705,192950.26135252678,1570.2466476622544,21768.237076476737,173965.37309663297,-0.05436023742415089,0
13,Sr(a). Mateo Blanco,Asesor,Gonzalez Ltd,2024,244815.5273588769,187282.53083886567,218713.82898839196,4325.887522371517,69858.36034630201,-0.01695149730123688,0
14,Juana Benjamin Paz Cruz,Secretario,Medina-Lopez,2022,232575.33001990282,212520.4196127456,34979.03796984761,31519.691621921338,58277.06660014006,-0.05688745823106778,0
14,Juana Benjamin Paz Cruz,Secretario,Medina-Lopez,2023,795985.5031193249,372064.3976125864,24998.471070945634,70830.83053687424,137252.53438757334,0.13373762435085948,0
14,Juana Benjamin Paz Cruz,Secretario,Medina-Lopez,2024,903821.8947869865,97837.2655475138,248411.62899578997,55997.392009353556,128047.45708931959,0.06916147549827653,0
15,Dr(a). Benjamin Diaz,Asesor,Vargas-Juarez,2022,345695.7957355376,176336.8514854795,193806.81871432255,13634.225067005205,63836.95316903842,-0.10950766533741238,0
15,Dr(a). Benjamin Diaz,Asesor,Vargas-Juarez,2023,133093.14971374482,139286.26641716604,219593.3055853288,25884.25649955858,108714.51766085398,-0.11562635381859221,0
15,Dr(a). Benjamin Diaz,Asesor,Vargas-Juarez,2024,108184.20562462397,38982.67568987422,40012.409842696914,53805.19977454983,128559.2751999959,-0.01993004883054353,0
16,Bruno Franco Quiroga,Secretario,Vera-Martinez,2022,335591.7606369785,84143.41669023618,20698.258903419475,37412.59703023733,124245.51135343454,-0.11023860576896313,0
16,Bruno Franco Quiroga,Secretario,Vera-Martinez,2023,979976.0729328648,121114.29800860045,189310.7542207401,79521.63476008289,125464.16903776494,-0.07441452146866212,0
16,Bruno Franco Quiroga,Secretario,Vera-Martinez,2024,588792.6044586763,21482.747992967164,108800.00955776601,20051.304518286157,142208.9356563739,0.1398713358014402,0
17,Sr(a). Priscila Correa,Director,Fernandez LLC,2022,707960.8503972909,328732.96913732326,247733.71704247728,36540.66018576913,138471.47948638356,0.12047065313844638,0
17,Sr(a). Priscila Correa,Director,Fernandez LLC,2023,598956.5586098449,215116.96513082847,31021.214321828167,27894.197611057683,102865.26189471148,0.11365237124030389,0
17,Sr(a). Priscila Correa,Director,Fernandez LLC,2024,1084201.334804207,140343.86165529847,226121.1953956744,52771.727393298286,177022.54480373007,-0.038539999532739774,0
18,Catalina Ema Suarez,Director,Gomez LLC,2022,988422.5244483373,365643.71421658795,8927.091195000681,62299.486000241406,59430.5918874931,0.055709634270768665,0
18,Catalina Ema Suarez,Director,Gomez LLC,2023,61929.517610380055,128944.4004345866,49268.208353685564,3591.2027709313497,111123.32780228715,-0.0634073100925455,0
18,Catalina Ema Suarez,Director,Gomez LLC,2024,159476.86187085602,17285.204833803247,185804.97392550067,19887.454964663346,76708.84950632023,-0.14442466655699573,0
19,Lucas Benjamin Lopez,Secretario,"Perez, Franco and Lopez",2022,1107266.7807131724,279083.6512250123,111854.42404623733,21213.58584009836,110131.4746417426,-0.07735124189795764,0
19,Lucas Benjamin Lopez,Secretario,"Perez, Franco and Lopez",2023,558273.6840175281,50554.063660605396,124059.29906768528,52738.80515423153,154368.35033450837,0.024916902038296912,0
19,Lucas Benjamin Lopez,Secretario,"Perez, Franco and Lopez",2024,91494.71387758652,136534.7695618672,124187.6400573905,79576.7696636416,46145.165943256376,-0.08078330906981189,0
20,Facundo Guadalupe Coronel Maidana,Director,Sanchez-Sanchez,2022,484449.1132402961,88516.09402482591,114012.47620671062,16080.260321359932,132647.4063065737,-0.131898929367872,0
20,Facundo Guadalupe Coronel Maidana,Director,Sanchez-Sanchez,2023,58653.37398362262,9664.86053328035,34578.969071893865,21177.691331199043,58810.299623596635,0.15983571156855966,0
20,Facundo Guadalupe Coronel Maidana,Director,Sanchez-Sanchez,2024,489029.8256268802,377753.991629723,191202.87897818978,41582.6481186662,108462.17244302851,-0.08306817318140412,0
21,Juana Joaquin Gomez,Director,Mansilla Group,2022,691035.0363211931,17202.4830652429,74885.61211174793,64998.37137252108,119698.1629270994,-0.08876175865945571,0
21,Juana Joaquin Gomez,Director,Mansilla Group,2023,993299.6447630138,67308.2694360617,65339.41049215883,72789.44019151817,171086.64699362678,0.4232841446719202,0
21,Juana Joaquin Gomez,Director,Mansilla Group,2024,709846.4279851338,178080.4325372406,30922.642905320707,19748.42862357441,169942.29728766694,-0.06849419418685897,0
22,Mateo Velazquez,Ministro,Carrizo-Gimenez,2022,683649.7491692872,34093.94597385056,237623.6028711258,28784.031332714414,161058.6010946845,0.11630628879512347,0
