ID_Funcionario,Nombre_Funcionario,Cargo,Organismo,Año,Bienes_Inmuebles,Bienes_Muebles,Activos_Financieros,Pasivos,Ingresos,Variacion_Patrimonial_Porcentaje,Es_Sospechoso
1,Camila Ian Ezequiel Perez,Ministro,"Romero, Fernandez and Benitez",2022,14665.479332669174,224767.19999631375,198231.19567471085,50160.621968918786,57154.4392891025,0.10317947754000587,0
1,Camila Ian Ezequiel Perez,Ministro,"Romero, Fernandez and Benitez",2023,429945.5036885202,156498.20928740094,181654.06894403032,38625.812043247606,168395.49980802374,0.11382266936847915,0
1,Camila Ian Ezequiel Perez,Ministro,"Romero, Fernandez and Benitez",2024,1128243.4900827145,53790.822942633466,148826.51642135158,69018.06193849881,72158.53174427536,0.005937702977659637,0
2,Luciana Gonzalez,Asesor,Diaz Inc,2022,540239.4718852113,259519.26387151162,125223.91734620364,51027.52761679792,97491.28354935152,0.10739148558943648,0
2,Luciana Gonzalez,Asesor,Diaz Inc,2023,416414.68034040567,283421.34727960115,120238.95860085565,53397.54052096078,98408.15827936839,0.09469923366025945,0
2,Luciana Gonzalez,Asesor,Diaz Inc,2024,876988.1027748988,294941.9717869039,205385.30439049818,74002.75293971054,118454.13113916395,-0.10032397632126729,0
3,Catalina Blanco Dominguez,Asesor,Toledo Ltd,2022,426866.721741157,185253.48648978156,170121.818556811,61471.50037439101,75623.13992838781,-0.12201073244090933,0
3,Catalina Blanco Dominguez,Asesor,Toledo Ltd,2023,404578.6161785317,224181.76503715105,76681.93872793994,54028.46111982332,109232.95817440555,0.08352325053796864,0
3,Catalina Blanco Dominguez,Asesor,Toledo Ltd,2024,222661.39601858272,12563.563560116498,150454.1046088842,47390.95211822983,94381.09666975748,-0.04751024285179192,0
4,Delfina Flores,Asesor,Perez Group,2022,1129667.7730251756,147117.10080285484,3340.87671763722,8451.369913375001,98091.39725138538,0.11953810878282164,0
4,Delfina Flores,Asesor,Perez Group,2023,843529.6374406929,392064.1631928425,222239.26982429103,63366.30932436698,48999.64589527015,-0.08196083434029212,0
4,Delfina Flores,Asesor,Perez Group,2024,545675.1578950267,284076.65731386625,127261.27838343599,64245.492095573354,92788.80553538963,0.05819370092912546,0
