ID_Funcionario,Nombre_Funcionario,Cargo_Ultimo,Organismo_Ultimo,Año_Declaracion,Bienes_Inmuebles_Valor,Bienes_Muebles_Valor,Activos_Financieros_Valor,Pasivos_Valor,Ingresos_Anuales,Variacion_Patrimonial_Porcentaje_Ultimo,Es_Sospechoso
1,Juan Ignacio Torres,Secretario,Garcia-Mendoza,2021,623853.758817573,63670.80861189478,251811.8842349869,7696.771348422105,50995.04182345775,43.90407303276842,0
2,Mateo Castro,Asesor,Gonzalez and Sons,2020,9585.135809330126,218750.6839933967,236163.7960645083,70191.10778883098,142662.9464102212,-3.351867924494721,0
3,Dr(a). Angelina Moreno,Director,Cruz-Sosa,2024,230757.16786238438,405201.59212702786,76815.77803117133,27607.229027674195,186614.220413823,-9.662878833532638,0
4,Mia Faustino Perez Perez,Director,"Nuñez, Martinez and Franco",2021,36628.26869669611,107181.06138245542,19685.63246613476,61622.786112154085,159093.3801189566,10.892784812326209,0
5,Juan Bautista Martín Lopez,Asesor,"Navarro, Gonzalez and Medina",2022,660412.038540811,255905.84979566312,273461.56002748734,62873.04138307659,152876.2546128697,40.523246890133656,0
6,Giuliana Lola Ortiz Rodriguez,Director,"Hernandez, Dominguez and Rodriguez",2020,497017.1876946897,243777.8146857817,147338.93061929618,28716.02473779945,162572.99926354032,22.30675913073467,0
7,Sr(a). Josefina Cabrera,Ministro,Castro-Dominguez,2022,1272466.6845972168,314685.9458627459,199148.44629787386,77414.80739076475,87573.13628470429,19.84174798636183,0
8,Miguel Angel Alma Garcia,Asesor,"Garcia, Diaz and Ojeda",2023,887974.8485376621,222478.4433969645,80941.07205119843,20008.95331775776,148881.69489611642,46.59832945821236,0
9,Luciano Vicente Rodriguez Castillo,Director,Perez-Morales,2020,1237347.1713362823,91462.22584085783,259572.53998594024,96905.68614708466,61163.948785013126,4.350946780528914,0
10,Mateo Benjamin Martina Lopez,Director,Lopez-Gonzalez,2024,267503.0031656247,147783.97558526334,271168.2928284548,97011.58178209479,53610.37114721675,42.6233395626189,0
11,Bautista Guadalupe Ramos,Asesor,Benitez Group,2024,138059.18312521753,24160.445682097685,225283.70032962257,10362.058486873815,85279.59023212227,26.45395311827823,0
12,Benjamin Lopez,Asesor,"Quiroga, Moyano and Torres",2021,482908.5748542411,499523.3081210623,63467.01057321256,75979.44598218314,181374.34839277295,33.991061802727195,0
13,Juana Gomez Herrera,Director,Lopez Ltd,2024,537812.0347246757,12690.72880222888,203394.2690125781,69401.11054255196,145015.34736137145,38.37026916286287,0
14,Felicitas Manuel Barrios,Director,Figueroa and Sons,2023,1174954.3841586984,432382.76203385106,21153.552918183694,84077.17753767125,156249.2364519495,14.47770590600664,0
15,Sr(a). Juan Manuel Rodriguez,Secretario,Ortiz Group,2020,854178.7058695045,190027.4030823566,218284.54173205324,62116.52485243503,176336.8682273255,44.30696497026651,0
16,Bautista Benjamin Ivan Roldan Ortiz,Secretario,"Juarez, Vazquez and Cabrera",2024,1110063.4260656952,481936.52195111924,108277.84952555019,69255.11182167313,195528.64293187516,27.07445094783688,0
17,Fausto Maria Victoria Correa,Secretario,Gomez Group,2020,340782.7207609455,439004.9749431595,195588.7785074633,15610.691168108848,76353.34178127305,-6.947541574405398,0
18,Benjamin Bautista Luna Ruiz,Asesor,Mendoza-Ruiz,2020,930054.0044745265,175680.80897536094,120187.39229736276,59242.335289880255,57013.80675428742,5.491227462586079,0
19,Benjamin Ezequiel Gonzalez Sanchez,Asesor,Perez-Gomez,2021,1307619.1710392616,339915.7725600716,20892.662155677033,34457.97999888095,162945.7662422263,32.767837269714065,0
20,Lautaro Benjamin Pilar Bustos Godoy,Secretario,"Sosa, Gomez and Gonzalez",2023,1210345.5109350283,197635.9822637077,286361.57646414347,62743.25171708129,131957.54399581137,-5.851820203835375,0
21,Josefina Juan Bautista Acosta Gonzalez,Secretario,"Fernandez, Ortiz and Diaz",2021,7946.9644517092265,64588.21914016916,134709.08057278703,90978.24097081188,120598.20961208832,13.296799285566516,0
22,Paula Lautaro Gabriel Soria,Director,Ramos Ltd,2023,729991.5595048555,441769.34672360733,262942.14202456677,70263.66015832627,130324.39113771661,39.62587124792749,0
23,Benjamin Valentina Carrizo,Asesor,Rodriguez-Luna,2022,1004453.9487233461,227735.8994038845,204149.2302318036,44117.417383403925,155758.00899996364,11.743142561410567,0
24,Sr(a). Santiago Figueroa,Secretario,Torres Inc,2022,1137310.4140239614,334344.7715974572,185757.81030003342,53429.454433150924,104260.32841846542,4.48046653262339,0
25,Lautaro Sanchez,Asesor,Martinez and Sons,2021,1424523.6804682114,59394.68865919312,249907.44051767766,84834.68733156563,186514.92982586828,0.8554301819908392,0
26,Dr(a). Maximo Aguero,Ministro,Cabrera-Ruiz,2023,229380.7323988305,140245.20100050792,191604.9307382934,21807.44929300176,166025.29262504124,10.484157584867043,0
27,Isabella Perez Gonzalez,Ministro,Ferreyra Inc,2022,910743.5785975299,395319.36555903935,297279.6212489236,31253.861276055683,176942.503793785,40.729930615615196,0
28,Tiziana Cruz Gimenez,Secretario,"Rodriguez, Ojeda and Molina",2023,530854.4404795365,58047.5232636995,12393.233005851202,80003.09951600345,102658.97065939731,-6.696314896226406,0
29,Joaquin Benitez,Ministro,Vargas-Sanchez,2020,1008398.4030201888,200613.63165137914,146703.1434354356,98184.07294117849,76330.707172427,-4.097641022057419,0
30,Santiago Sosa Martinez,Asesor,Villalba LLC,2023,1428856.8432365842,209542.2061312414,64456.17735162056,75453.13840725028,95439.88879275892,46.182058850901456,0
