ID_Transaccion,Fecha_Hora,Tipo_Transaccion,Monto,Origen_Fondos,Destino_Fondos,Ubicacion,ID_Beneficiario,Tipo_Beneficiario,Informacion_Adicional,Sospecha_Fraude,Sospecha_Corrupcion
1,2025-01-09 20:37:08.666138,Pago,3421.406277628452,Lopez-Morales,"Moreno, Chavez and Benitez","Constitución, Mauritania",BEN-2071,Persona,Voluptates natus natus similique.,0,0
2,2025-01-18 05:36:10.196955,Pago,1382.4647729962446,Thiago Benjamin Micaela Benitez Gonzalez,Vega PLC,"Córdoba, Turkmenistán",BEN-3396,Empresa,,0,0
3,2025-02-24 10:06:14.256503,Compra,2577.884907098712,"Gonzalez, Ortiz and Torres",Alvaro Gomez,"La Rioja, Serbia",BEN-6726,Organización Gubernamental,Totam molestias deserunt magni minus rem ab.,0,0
4,2025-03-07 03:45:35.593842,Transferencia,1537.7858856822768,"Martinez, Molina and Aguero","Dominguez, Lopez and Garcia","La Plata, Irlanda",BEN-6018,Empresa,,0,0
5,2025-03-09 05:22:22.896370,Pago,3162.623028716659,"Castillo, Rodriguez and Gomez",Aguirre-Godoy,"La Rioja, Granada",BEN-4563,Organización Gubernamental,,0,0
6,2025-03-29 22:23:35.771867,Compra,458.6864639382712,"Farias, Chavez and Aguirre",Juan Ignacio Avila Castillo,"Río Gallegos, Tuvalu",BEN-2521,Empresa,,0,0
7,2025-02-05 10:23:18.970540,Donación,2443.1776283465256,Dr(a). Federico Fernandez,Castillo-Farias,"Viedma, Ghana",BEN-4377,Empresa,,0,0
8,2025-03-16 14:29:40.703152,Compra,659.3667380976202,Gutierrez-Gomez,"Figueroa, Garcia and Garcia","San Ferando del Valle de Catamarca, Chile",BEN-3618,Organización Gubernamental,Dolores corporis dicta.,0,0
9,2025-02-26 01:22:55.404990,Transferencia,1167.4491863928563,Lautaro Nahuel Martinez,Dr(a). Benjamin Valdez,"San Salvador de Jujuy, Bahrein",BEN-9223,Organización Gubernamental,,0,0
10,2025-02-24 11:49:29.157845,Donación,3091.5282285046083,"Pereyra, Medina and Velazquez",Ojeda PLC,"Santiago del Estero, Colombia",BEN-3921,Empresa,,0,0
11,2025-02-10 15:08:42.506293,Pago,3354.4979692112393,Bustos and Sons,"Diaz, Fernandez and Sosa","Salta, Timor-Leste",BEN-8674,Empresa,,0,0
12,2025-01-29 01:34:08.297645,Subsidio,3349.8999856912474,Dr(a). Juan Ignacio Flores,Carrizo and Sons,"Río Gallegos, Granada",BEN-6852,Empresa,Similique mollitia natus.,0,0
13,2025-02-23 01:26:32.002089,Donación,2766.340375360089,Herrera Inc,Pereyra-Perez,"Viedma, Angola",BEN-2229,Persona,Asperiores odio explicabo.,0,0
14,2025-03-03 07:27:52.734168,Subsidio,3345.10014163022,"Molina, Paez and Ortiz","Sosa, Sanchez and Flores","Neuquén, Ecuador",BEN-1323,Persona,Necessitatibus deserunt doloremque ad.,0,0
15,2025-02-08 15:52:46.028893,Compra,285.69507973256043,Quiroga Ltd,Diaz-Godoy,"Comodoro Rivadavia, República Centroafricana",BEN-6504,Empresa,,0,0
16,2025-01-04 22:47:29.329545,Compra,2043.2452155975636,Martinez PLC,Felicitas Caceres,"San Salvador de Jujuy, Albania",BEN-1423,Persona,Nisi repudiandae tenetur quisquam vero.,0,0
17,2025-03-02 18:37:52.580986,Subsidio,3783.019721598611,Abril Gonzalez,Renata Sosa,"Formosa, Namibia",BEN-8547,Persona,,0,0
18,2025-03-23 02:14:35.967639,Donación,3551.799170893179,Manuel Sanchez,"Herrera, Sosa and Cordoba","San Juan, Tonga",BEN-8713,Organización Gubernamental,Nisi quibusdam eveniet ullam ea.,0,0
19,2025-02-04 13:39:57.339464,Donación,2519.5240212152835,Ruiz-Martinez,Leiva Ltd,"Mendoza, India",BEN-1855,Persona,,0,0
20,2025-01-29 04:02:03.967521,Compra,3976.0436847679953,Dr(a). Luciana Pereyra,Romero-Torres,"Córdoba, Brasil",BEN-2231,Persona,,0,0
21,2025-01-08 10:13:43.540490,Subsidio,4066.485809331438,Juliana Fernandez,Bustos-Ayala,"San Ferando del Valle de Catamarca, Albania",BEN-4744,Organización Gubernamental,,0,0
22,2025-03-25 22:23:36.366998,Compra,1012.4956071671854,Luz Milagros Fernandez,"Pereyra, Martinez and Ojeda","Paraná, Iraq",BEN-2238,Organización Gubernamental,Pariatur maiores et minima iusto aliquid.,0,0
23,2025-03-24 09:53:57.866898,Donación,3641.8562985548897,Martina Romero,Sol Lola Castro,"San Ferando del Valle de Catamarca, Islandia",BEN-4325,Organización Gubernamental,,0,0
24,2025-02-05 23:51:37.570992,Subsidio,2053.342648238384,Fernandez Group,Sr(a). Lucas Quiroga,"Constitución, Etiopía",BEN-8780,Empresa,,0,0
25,2025-04-01 13:49:53.807935,Compra,2584.760165006437,Lucas Ezequiel Rivero Molina,Diaz and Sons,"San Ferando del Valle de Catamarca, Samoa",BEN-3011,Organización Gubernamental,,0,0
26,2025-01-04 07:15:38.156239,Transferencia,2817.353586347754,"Diaz, Rios and Perez",Muñoz-Cabrera,"Formosa, Bulgaria",BEN-2813,Organización Gubernamental,,0,0
27,2025-01-09 04:05:32.633335,Transferencia,4498.597878656937,"Cabrera, Ojeda and Correa",Renata Rodriguez,"Merlo, Tuvalu",BEN-8570,Empresa,,0,0
28,2025-01-12 05:17:07.848598,Transferencia,1730.7482059714914,Maria Belen Cardozo,Santiago Benjamin Lautaro Acosta,"San Luis, Kirguistán",BEN-6773,Empresa,,0,0
29,2025-01-10 12:42:53.512261,Transferencia,2149.838563910255,Ledesma LLC,Juan Ignacio Delfina Blanco Medina,"Santa Rosa, Afganistán",BEN-7989,Empresa,Deserunt in ut neque cumque tenetur excepturi.,0,0
30,2025-03-09 16:13:11.409936,Transferencia,3633.6200989302483,"Ponce, Silva and Lopez","Lopez, Ramos and Rodriguez","Salta, Suiza",BEN-7058,Organización Gubernamental,,0,0
