ID_Transaccion,Fecha_Hora,ID_Tarjeta,Monto,Comercio,Ubicacion_Comercio,Tipo_Transaccion,Pais_IP,Es_Fraudulenta
1,2025-01-24 16:39:26.316643,CC-8740079630,756.8003424487092,Farias-Gonzalez,"Santa Fe, Indonesia",Compra,Côte d'Ivoire,0
2,2025-02-28 07:54:53.800075,CC-5821702691,617.4539581172049,Toledo LLC,"Córdoba, Kenya",Pago,Mozambique,0
3,2025-03-03 13:31:22.369916,CC-1568543344,986.9044224184315,Miranda-Ruiz,"Chilecito, Kuwait",Pago,Colombia,0
4,2025-03-01 16:57:00.833171,CC-9551461243,237.01055264172444,Morales-Paz,"Santiago del Estero, Eritrea",Compra,Bangladesh,0
5,2025-01-16 21:23:05.257390,CC-8609223566,881.4983695178995,Martinez-Mendez,"Salta, Portugal",Compra,Portugal,0
6,2025-03-08 13:56:50.014224,CC-4586596951,295.38980906012205,"Vera, Vega and Diaz","Mar del Plata, República Democrática Popular Lao",Retiro,Andorra,0
7,2025-03-09 17:02:44.696813,CC-8244313923,794.4682474160553,Cordoba-Rojas,"Rawson, Serbia",Compra,Burkina Faso,0
8,2025-01-29 19:31:39.574451,CC-6037762369,211.73795413603008,"Chavez, Lopez and Juarez","Constitución, Belice",Pago,República Federal Democrática de Nepal,0
9,2025-02-04 18:33:59.224597,CC-4909185538,886.9436024257935,"Rodriguez, Sanchez and Olivera","San Miguel de Tucumán, Noruega",Compra,Micronesia,0
10,2025-01-28 09:17:26.958218,CC-8805168964,687.1598302224106,Leiva Ltd,"Formosa, Malta",Retiro,Islandia,0
11,2025-03-06 05:48:02.760857,CC-5475148287,130.52210362283108,"Diaz, Garcia and Valdez","Formosa, Marruecos",Compra,Malasia,0
12,2025-02-23 03:40:23.043869,CC-8397765348,636.2749779172415,"Diaz, Lucero and Hernandez","Chilecito, España",Pago,Arabia Saudita,0
13,2025-02-22 05:02:34.410171,CC-5506729090,222.21553722026144,Ortiz Inc,"Santiago del Estero, Argelia",Pago,Chile,0
14,2025-03-12 05:32:13.916611,CC-7134030347,102.94512611102955,Luna-Farias,"Santiago del Estero, Panamá",Retiro,Filipinas,0
15,2025-02-24 07:08:05.576796,CC-8569431787,467.13614739910486,"Acuña, Duarte and Ferreyra","Santa Fe, Letonia",Retiro,El Salvador,0
16,2025-03-19 05:49:26.623669,CC-1408744035,69.47184595794204,"Gomez, Sosa and Garcia","La Rioja, Bahamas",Retiro,Nueva Zelandia,0
17,2025-01-19 09:19:58.029964,CC-8917872447,508.40023739746005,"Molina, Gonzalez and Rodriguez","Santa Rosa, Reino Unido de Gran Bretaña e Irlanda del Norte",Compra,Eslovenia,0
18,2025-03-19 14:06:57.312348,CC-5321571444,776.9800945774159,Coronel-Vazquez,"Río Gallegos, Sierra Leona",Compra,Zambia,0
19,2025-02-05 08:46:57.777661,CC-1093734188,41.797617733307646,Sanchez-Ortiz,"Constitución, Pakistán",Pago,Swazilandia,0
20,2025-01-24 14:41:40.996057,CC-2397647366,949.9146892051087,Benitez-Martin,"Rawson, Madagascar",Compra,Finlandia,0
21,2025-01-27 05:15:06.220419,CC-5620265302,407.6009803325983,Ramirez and Sons,"Neuquén, Tonga",Compra,Angola,0
22,2025-01-01 06:01:41.200764,CC-8985428694,693.7546013299261,"Sosa, Sosa and Ferreyra","Santa Fe, Colombia",Pago,Guinea Bissau,0
23,2025-01-09 12:06:38.874897,CC-7596797185,896.5221315770208,Mendez LLC,"Santiago del Estero, Croacia",Compra,Malasia,0
24,2025-01-15 19:01:31.813077,CC-5539672566,248.7000179919802,Cabrera-Luna,"San Luis, Bahrein",Compra,Ecuador,0
25,2025-02-24 00:31:02.878042,CC-8640848971,311.5210223904828,Gomez-Diaz,"Bahía Blanca, Belice",Compra,Nigeria,0
26,2025-01-05 23:22:05.501335,CC-7507710835,880.9337493890118,Rojas-Rojas,"Córdoba, Mongolia",Pago,Santa Lucía,0
27,2025-02-14 02:33:18.551600,CC-7629650354,412.6059465448062,Carrizo Group,"Santa Fe, Kirguistán",Pago,China,0
28,2025-02-05 08:28:25.300508,CC-1479361964,143.65511479708763,Rodriguez-Sosa,"Comodoro Rivadavia, Nicaragua",Compra,Grecia,0
29,2025-01-22 02:25:11.042419,CC-5119997661,215.97511813563847,Garcia-Cardozo,"La Plata, Iraq",Compra,Dinamarca,0
30,2025-02-04 01:08:13.664618,CC-4361144408,251.95061090770903,"Rodriguez, Gutierrez and Ojeda","Comodoro Rivadavia, Sudán",Compra,Bolivia,0
31,2025-03-17 15:19:15.697418,CC-1030010942,612.5632847513268,Moyano Ltd,"San Luis, Japón",Retiro,Nauru,0
32,2025-02-04 09:21:33.146733,CC-7980671153,684.0019554720736,Arias-Rivero,"Mar del Plata, Ucrania",Pago,Egipto,0
33,2025-01-16 23:03:31.376820,CC-8702639138,909.285821534862,Fernandez and Sons,"La Plata, India",Pago,República Centroafricana,0
34,2025-03-15 15:52:21.092041,CC-9700002803,249.20488435078096,Ledesma-Martinez,"Resistencia, Micronesia",Retiro,Omán,0
35,2025-03-03 04:18:59.365959,CC-7978847431,623.1287025271353,Martinez PLC,"Ushuaia, Dominicana",Retiro,Samoa,0
36,2025-03-03 04:57:35.811059,CC-5128746047,518.5036821721395,Diaz and Sons,"Santa Fe, Bosnia y Herzegovina",Pago,Guatemala,0
