ID_Transaccion,Fecha_Hora,ID_Tarjeta,Monto,Comercio,Ubicacion_Comercio,Tipo_Transaccion,Pais_IP,Es_Fraudulenta
1,2025-01-21 04:52:14.821212,CC-9774094911,153.24148851423644,Rodriguez-Ruiz,"San Juan, Noruega",Retiro,Mali,0
2,2025-01-10 12:41:31.854033,CC-6491224401,698.9014853669627,Hernandez LLC,"Rawson, Bulgaria",Retiro,Haití,0
3,2025-02-14 16:32:53.712098,CC-2449183229,142.80984029878843,Fernandez-Villalba,"San Ferando del Valle de Catamarca, Tailandia",Pago,Turquía,0
4,2025-02-02 07:30:51.436375,CC-4158334387,306.3850477149494,Gonzalez-Gonzalez,"Rosario, Camerún",Pago,Eslovenia,0
5,2025-01-28 18:40:41.835191,CC-5065160312,806.1840616877683,"Acosta, Acosta and Alvarez","Mendoza, Belarús",Retiro,República Centroafricana,0
6,2025-01-18 06:14:18.323079,CC-1326088665,489.743472043508,Molina-Farias,"Formosa, Santa Lucía",Pago,Swazilandia,0
7,2025-02-25 23:28:57.299571,CC-2495999387,879.2820554288354,Ramirez Group,"Mar del Plata, Islas Salomón",Compra,Turkmenistán,0
8,2025-01-08 11:35:52.298486,CC-7920707992,972.9361383983685,Diaz-Lucero,"La Rioja, Camboya",Pago,Reino Unido de Gran Bretaña e Irlanda del Norte,0
9,2025-02-21 09:07:36.582790,CC-9131125470,38.857365044241625,Lopez-Gonzalez,"San Miguel de Tucumán, Santo Tomé y Príncipe",Pago,Dinamarca,0
10,2025-02-21 01:39:26.223623,CC-2917959446,589.1445931543857,Quiroga Inc,"Paraná, Brasil",Retiro,Eslovaquia,0
11,2025-02-01 00:48:03.912679,CC-6814304321,891.4782010398586,"Ayala, Sanchez and Mansilla","Rosario, Estados Unidos de América",Compra,Vietman,0
12,2025-03-05 04:41:29.623105,CC-1869767495,232.1835587843676,Ortiz-Juarez,"Ushuaia, Belarús",Retiro,Venezuela,0
13,2025-02-26 17:49:00.210122,CC-9285540880,277.93218100191956,Rojas Inc,"Mendoza, República Unida de Tanzanía",Pago,Bangladesh,0
14,2025-01-03 22:04:30.029596,CC-3258600376,575.309042381238,Alvarez-Gimenez,"Santiago del Estero, Bahamas",Pago,Croacia,0
15,2025-02-17 18:57:18.198616,CC-8978645250,241.45099672414614,Juarez-Gutierrez,"Mar del Plata, Montenegro",Pago,Lesotho,0
16,2025-02-14 15:22:17.230114,CC-4374300929,71.8474633044195,Coronel and Sons,"Bahía Blanca, Uruguay",Compra,Mónaco,0
17,2025-01-01 14:06:18.177298,CC-6504907165,217.25550077775455,"Perez, Rodriguez and Martinez","Merlo, Nigeria",Pago,Japón,0
18,2025-03-04 05:37:30.446689,CC-1042975195,605.7337640801177,"Gonzalez, Ledesma and Flores","Córdoba, Honduras",Pago,Tonga,0
19,2025-01-09 07:28:56.365122,CC-7899145948,821.7929995720687,Gonzalez Ltd,"Paraná, Iraq",Retiro,Mauricio,0
20,2025-02-15 23:18:30.754267,CC-9649213819,25.9105324458537,Torres-Sosa,"Ushuaia, Jamaica",Retiro,Samoa,0
21,2025-01-16 11:37:08.892495,CC-1568130524,206.66077210987518,Maidana-Ojeda,"Constitución, Dominicana",Retiro,Egipto,0
22,2025-03-06 08:48:00.247067,CC-9834183621,596.2463467899581,"Benitez, Aguirre and Peralta","Santa Rosa, Myanmar",Pago,Belarús,0
23,2025-03-04 00:08:01.697901,CC-2703493325,110.2014602836862,Medina PLC,"Chilecito, Santa Lucía",Pago,Letonia,0
24,2025-03-24 06:37:11.236658,CC-7960816657,555.673375042966,"Lopez, Acuña and Castro","Santiago del Estero, Guyana",Compra,Barbados,0
25,2025-01-30 10:05:54.864398,CC-3894446883,989.0417339226028,Barrios Ltd,"Viedma, Uruguay",Compra,Honduras,0
26,2025-01-17 02:00:58.812233,CC-6482149340,414.75304387928196,Diaz-Blanco,"Bahía Blanca, Bahrein",Pago,Suecia,0
27,2025-01-18 05:42:20.319455,CC-6783496192,438.3749288981596,Torres and Sons,"Rawson, Nigeria",Compra,Burundi,0
28,2025-02-11 06:29:29.945239,CC-4641022958,365.04411893310964,"Moreno, Bravo and Lucero","Rosario, Micronesia",Compra,Omán,0
29,2025-03-10 13:12:08.905221,CC-3316141046,374.53169257447445,Perez LLC,"Mendoza, Saint Kitts y Nevis",Pago,Islas Marshall,0
30,2025-03-14 05:51:41.471570,CC-7786235043,700.8136211079171,"Soria, Martinez and Luna","Posadas, Guatemala",Pago,Serbia,0
31,2025-03-07 12:41:07.285689,CC-1485204978,182.27668783041423,Guzman-Lopez,"Chilecito, República Popular Democrática de Corea",Compra,Israel,0
32,2025-01-02 17:09:57.197845,CC-5146181678,473.3649194363831,Cabrera-Perez,"La Rioja, Singapur",Compra,Tonga,0
33,2025-02-05 14:34:24.082111,CC-2376748316,609.0877220663962,Sanchez and Sons,"Merlo, Arabia Saudita",Retiro,Estados Unidos de América,0
34,2025-01-24 03:53:32.418368,CC-9068458092,399.66934038952996,"Luna, Aguero and Cruz","San Ferando del Valle de Catamarca, Hungría",Compra,Malawi,0
35,2025-02-16 04:07:12.775849,CC-2891791574,853.3860378178679,"Romero, Perez and Guzman","Mar del Plata, Afganistán",Retiro,Tonga,0
36,2025-01-16 03:51:23.511829,CC-6918809731,184.05471686249965,Gonzalez-Torres,"San Juan, Rumania",Retiro,Eritrea,0
37,2025-03-06 10:17:19.460961,CC-3882353207,715.0244526791053,Fernandez-Rios,"Rawson, Azerbaiyán",Retiro,Bhután,0
38,2025-01-28 17:55:19.388067,CC-8598881225,210.52438851459587,"Fernandez, Molina and Ortiz","Río Gallegos, Lesotho",Compra,Dominicana,0
39,2025-03-24 09:28:23.168534,CC-9022262522,549.8553884441118,"Coronel, Perez and Ferreyra","Mendoza, Turkmenistán",Compra,Italia,0
40,2025-01-03 01:21:31.738833,CC-7081445995,879.7634003900122,Peralta and Sons,"Formosa, República Unida de Tanzanía",Compra,Micronesia,0
41,2025-01-01 17:41:57.876954,CC-5229214390,793.9821101468715,Benitez Ltd,"Santiago del Estero, Japón",Retiro,Trinidad y Tabago,0
42,2025-01-26 05:36:37.096864,CC-4392530992,638.2105796807812,Castillo Ltd,"Santa Rosa, Filipinas",Compra,Georgia,0
43,2025-03-11 23:04:14.148376,CC-1856777597,952.9005153507194,Lopez Ltd,"Comodoro Rivadavia, Togo",Pago,Cuba,0
44,2025-03-04 02:49:48.458966,CC-9711767439,495.75229982976356,Paz Ltd,"Merlo, Jamaica",Pago,Tonga,0
45,2025-01-10 20:01:30.274214,CC-7262056360,708.6514947577421,"Martinez, Martinez and Castro","Ushuaia, Dinamarca",Retiro,Papua Nueva Guinea,0
46,2025-01-20 09:37:35.528978,CC-5170319172,224.81834882894532,"Paez, Suarez and Castro","Corrientes, Granada",Compra,Israel,0
47,2025-03-06 16:52:21.384327,CC-4418905670,459.82719490763253,Gonzalez Inc,"Posadas, Emiratos Árabes Unidos",Pago,Chipre,0
48,2025-03-01 09:03:22.587464,CC-4748483241,671.8684378600498,Benitez LLC,"San Ferando del Valle de Catamarca, Lesotho",Compra,Mauricio,0
49,2025-02-04 21:43:04.059168,CC-6286099865,888.6213721680668,Sanchez-Blanco,"Ushuaia, San Vicente y las Granadinas",Pago,Australia,0
50,2025-02-22 03:44:52.595125,CC-8346006845,569.9929123774141,Avila PLC,"Chilecito, Haití",Compra,Etiopía,0
51,2025-02-16 22:34:54.303770,CC-6945723661,150.57428745640075,"Maidana, Rodriguez and Rojas","Rawson, Niger",Retiro,Mongolia,0
52,2025-03-16 17:42:32.945588,CC-5859076514,12.526288595780905,"Cruz, Gomez and Rojas","Merlo, Colombia",Retiro,Bhután,0
53,2025-01-06 16:25:29.867434,CC-3457874923,254.00433262699192,Ojeda LLC,"Ushuaia, Pakistán",Compra,Chile,0
54,2025-02-26 15:53:41.793435,CC-1082871297,927.0445727113554,Gomez LLC,"Paraná, República Federal Democrática de Nepal",Compra,Noruega,0
55,2025-02-03 11:19:57.760010,CC-6871144107,368.86697546003,Ramos Group,"Ushuaia, Santo Tomé y Príncipe",Retiro,Sudán del Sur,0
56,2025-03-11 17:46:21.938924,CC-9980267140,46.6638718240298,Perez and Sons,"San Miguel de Tucumán, Bahamas",Pago,Comoras,0
57,2025-02-01 06:25:15.955450,CC-5544574108,237.50957002595496,Peralta-Ramirez,"Resistencia, Federación de Rusia",Retiro,Iraq,0
58,2025-01-04 01:49:52.581617,CC-5210825082,758.7155280469786,"Castillo, Gonzalez and Ortiz","Chilecito, Liechtenstein",Compra,Belarús,0
59,2025-01-16 06:55:28.007279,CC-2305098876,441.9771629408223,Peralta PLC,"Merlo, Irlanda",Compra,Kenya,0
60,2025-01-18 12:07:00.747849,CC-6264792280,854.6385714396886,Gonzalez Inc,"Corrientes, Micronesia",Pago,Eslovaquia,0
61,2025-01-11 18:39:17.505731,CC-9953406863,625.2039753565958,"Rodriguez, Soto and Arias","Ushuaia, Polonia",Pago,Guyana,0
62,2025-02-06 16:58:34.666382,CC-2698770431,935.2058580918757,Garcia and Sons,"Mar del Plata, Fiji",Retiro,Gabón,0
63,2025-02-17 13:37:54.366366,CC-8236263145,915.997407702082,"Castro, Sanchez and Lopez","Santiago del Estero, Jamaica",Pago,Egipto,0
64,2025-01-05 19:18:26.495235,CC-2493831979,905.4366648751717,"Mendoza, Moreno and Martinez","San Salvador de Jujuy, Lesotho",Retiro,Bolivia,0
65,2025-02-09 02:22:47.773890,CC-6327934998,58.664587852584724,Diaz LLC,"Comodoro Rivadavia, Suriname",Compra,Guinea Bissau,0
66,2025-02-22 15:52:44.917678,CC-9419716054,682.934430018672,Nuñez and Sons,"Formosa, Gabón",Pago,San Vicente y las Granadinas,0
67,2025-01-28 02:55:17.321672,CC-4201145350,129.94575337415574,"Perez, Acuña and Lopez","Paraná, Burundi",Retiro,República Democrática del Congo,0
68,2025-03-02 01:09:45.685737,CC-4295302353,926.8769344665471,Lopez LLC,"Paraná, Bosnia y Herzegovina",Retiro,Benin,0
69,2025-02-11 06:41:19.049010,CC-1436205986,342.4921233342364,Ruiz-Rodriguez,"Santiago del Estero, Egipto",Retiro,Tonga,0
