ID_Usuario,Nombre,Email,Direccion,CUIT,Es_Cuenta_Falsa
user_0,Dr(a). Alma Ruiz,agustinrojas@example.net,"Av. Corrientes N° 315 Dto. 2
Salta 4400, Salta",23-12524450-5,0
user_1,Martina Diaz Diaz,mia72@example.net,"Av. Chaco N° 72
Rosario 2000, Santa Fe",23-77485488-6,0
user_2,Isabella Ortiz Ledesma,nicolas34@example.net,"Diagonal Chilecito N° 3269
Santa Rosa 6300, La Pampa",27-29002094-3,1
user_3,Lucas Benjamin Fernandez,josefina58@example.com,"Blv. Entre Ríos N° 620
Resistencia 3500, Chaco",27-20663214-9,1
user_4,Dr(a). Isabella Lopez,urojas@example.com,"Diagonal 8 N° 922
San Ferando del Valle de Catamarca 4700, Catamarca",23-94820552-1,0
user_5,Bautista Benjamin Acosta Molina,dgutierrez@example.com,"Avenida 130 B N° 171
Merlo 5881, San Luis",27-96965378-3,1
user_6,Elena Cardozo Chavez,martinezjuan-sebastian@example.net,"Calle Río Gallegos N° 449
Mendoza 5500, Mendoza",27-71304892-0,0
user_7,Milagros Mateo Ezequiel Cardozo Suarez,ruizjuan-ignacio@example.org,"Blv. Ciudad Autónoma de Buenos Aires N° 862
Santa Rosa 6300, La Pampa",27-32080456-1,1
user_8,Sofia Mateo Agustin Torres Campos,joaquingomez@example.com,"Calle 4 N° 6567 Piso 3 Dto. 9
Formosa 3600, Formosa",27-35697041-7,1
user_9,Sofia Silva Duarte,franciscorodriguez@example.com,"Av. Paraná N° 81 Torre 6 Dto. 2
Comodoro Rivadavia 9000, Chubut",23-94242056-0,0
user_10,Bianca Valentin Diaz Martinez,luciano42@example.net,"Av. 3 N° 8691 Local 7
Ushuaia 9410, Tierra del Fuego",27-89642671-6,0
user_11,Bruno Molina Miranda,santinofarias@example.org,"Blv. Salta N° 439 Local 92
Comodoro Rivadavia 9000, Chubut",20-50470194-9,0
user_12,Julieta Lopez,lucia-toledo@example.net,"Camino J.B. Alberdi N° 392
Chilecito 5360, La Rioja",27-30728587-3,0
user_13,Benjamin Micaela Sosa Sanchez,ana-paulaledesma@example.net,"Blv. 3 N° 698 Dto. 5
Formosa 3600, Formosa",20-25975303-2,0
user_14,Emma Gonzalez Luna,hjuarez@example.com,"Diagonal 1 N° 85 Dto. 6
Paraná 3100, Entre Ríos",27-31076458-8,0
user_15,Lucía Matias Soto,brunosuarez@example.com,"Diag. Omar Nuñez N° 330
San Ferando del Valle de Catamarca 4700, Catamarca",27-92854097-4,1
user_16,Pedro Malena Ayala,ruizlara@example.org,"Boulevard Ciudad Autónoma de Buenos Aires N° 885 Oficina 32
Corrientes 3400, Corrientes",23-94109288-8,0
user_17,Ignacio Acosta,ealvarez@example.org,"Avenida 3 N° 884 Local 73
Posadas 3300, Misiones",20-08055134-8,1
user_18,Martina Ana Paula Coronel Silva,felipe36@example.net,"Calle Saavedra N° 86 Oficina 1
Bahía Blanca 8000, Buenos Aires",27-20005142-9,0
user_19,Sr(a). Renata Lopez,blancoignacio@example.org,"Diagonal 4 N° 17
La Plata 1900, Buenos Aires",27-60059795-2,0
user_20,Francisco Oriana Blanco Valdez,benjamin97@example.org,"Diag. 2 N° 39
Rosario 2000, Santa Fe",27-10590049-5,1
user_21,Lautaro Gabriel Helena Perez,ciro-benjamin91@example.net,"Av. 7 N° 68
La Rioja 5300, La Rioja",27-80792288-8,0
user_22,Santiago Benitez Ortiz,pedro62@example.org,"Av. San Salvador de Jujuy N° 959 Piso 3 Dto. 1
Rosario 2000, Santa Fe",27-96314056-3,0
user_23,Santino Benjamin Antonella Garcia Ramirez,cledesma@example.com,"Diagonal Malvinas Argentinas N° 48 Local 6
Formosa 3600, Formosa",27-36372427-8,0
user_24,Martin Tomàs Arias Chavez,maximo95@example.net,"Avenida Rivadavia N° 691 Dto. 8
La Plata 1900, Buenos Aires",27-94243049-9,0
user_25,Emilia Lautaro Cabrera Rios,delfinaferreyra@example.net,"Diagonal Alvear N° 61
Posadas 3300, Misiones",27-29655411-7,1
user_26,Zoe Rodriguez Ruiz,agustin02@example.com,"Diagonal Jujuy N° 683
Merlo 5881, San Luis",27-21810285-4,0
user_27,Catalina Juana Pereyra,fernandezjoaquin@example.com,"Calle Pte. Perón N° 58
La Plata 1900, Buenos Aires",27-04673619-8,1
user_28,Sofía Flores Diaz,gonzalezthiago-benjamin@example.com,"Calle Tucumán N° 464
Santiago del Estero 4200, Santiago del Estero",27-08914528-2,1
user_29,Olivia Lopez Gonzalez,julietanunez@example.net,"Camino Resistencia N° 836
Posadas 3300, Misiones",27-03827449-5,0
