ID_Usuario,Nombre,Email,Direccion,CUIT,Es_Cuenta_Falsa
user_0,Nicolas Samuel Navarro Gomez,luca99@example.net,"Calle Chubut N° 666
Río Gallegos 9400, Santa Cruz",20-88193192-4,1
user_1,Maite Miguel Angel Figueroa Romero,olivia20@example.com,"Av. Comodoro Rivadavia N° 711 Piso 9 Dto. 8
Santiago del Estero 4200, Santiago del Estero",27-62783031-4,0
user_2,Sr(a). Benjamin Vera,munozsantino-gabriel@example.net,"Av. Saavedra N° 1952 Local 9
Rosario 2000, Santa Fe",27-18392246-2,1
user_3,Luz Milagros Romero,zbravo@example.net,"Calle 5 N° 5635 Local 29
Comodoro Rivadavia 9000, Chubut",20-70628250-6,0
user_4,Dr(a). Paloma Martinez,pereyrajuana@example.com,"Avenida Mendoza N° 759
Constitución 1004, Ciudad Autónoma de Buenos Aires",20-91934751-2,0
user_5,Santiago Ortiz,bmunoz@example.org,"Diagonal Alem N° 771 Dto. 5
Salta 4400, Salta",23-08383985-6,0
user_6,Juana Avila,francoortiz@example.net,"Av. Mendoza N° 562 Torre 1 Dto. 5
Chilecito 5360, La Rioja",27-58729133-4,0
user_7,Juan Ignacio Vargas,munozlara@example.net,"Diagonal J.B. Alberdi N° 4399 Piso 9 Dto. 9
San Luis 5700, San Luis",23-44889308-1,0
user_8,Ambar Escobar Sanchez,milodiaz@example.com,"Calle Bahía Blanca N° 857
San Miguel de Tucumán 4000, Tucumán",27-14644356-2,0
user_9,Thiago Ezequiel Arias Ledesma,fernandezalvaro@example.org,"Avenida Entre Ríos N° 81 Dto. 6
San Juan 5400, San Juan",27-18042316-3,0
user_10,Isabella Benitez Rivero,felicitasledesma@example.org,"Diagonal Chilecito N° 861 Local 77
Neuquén 8300, Neuquén",27-22605150-9,1
user_11,Juana Martin Garcia Gonzalez,ponceangel-gabriel@example.net,"Blv. Mitre N° 483
Córdoba 5000, Córdoba",20-33490172-7,1
user_12,Sr(a). Mateo Ezequiel Ramirez,oliviarodriguez@example.com,"Calle Rivadavia N° 942 Oficina 5
San Ferando del Valle de Catamarca 4700, Catamarca",20-66322116-8,0
user_13,Kiara Valdez Castillo,salvador74@example.net,"Av. Posadas N° 915
Viedma 8500, Río Negro",20-35429926-8,1
user_14,Benjamin Jeremias Carrizo Ponce,zbenitez@example.org,"Av. Saavedra N° 556
Posadas 3300, Misiones",23-96887114-5,0
user_15,Juan Ignacio Romero Ojeda,eguzman@example.com,"Diag. 1 N° 823
San Miguel de Tucumán 4000, Tucumán",23-01304893-2,0
user_16,Dr(a). Paulina Garcia,peraltaisabella@example.com,"Diagonal Santa Rosa N° 881 Local 64
Salta 4400, Salta",20-18041635-9,1
user_17,Sr(a). Josefina Vera,dlopez@example.org,"Avenida Entre Ríos N° 68 Dto. 2
Santa Fe 3000, Santa Fe",20-21860090-6,0
user_18,Juan Ignacio Sofia Garcia Rodriguez,gsilva@example.com,"Calle 8 N° 12 Piso 8 Dto. 4
San Salvador de Jujuy 4600, Jujuy",27-97224816-4,1
user_19,Ciro Sebastian Gimenez Soto,vsosa@example.net,"Av. Ciudad Autónoma de Buenos Aires N° 423
San Salvador de Jujuy 4600, Jujuy",23-86718564-9,1
user_20,Julieta Flores Villalba,molinasol@example.net,"Avenida G. Brown N° 481
La Plata 1900, Buenos Aires",27-52318425-9,0
user_21,Thiago Ezequiel Catalina Ramirez,alma68@example.com,"Avenida Formosa N° 954
La Rioja 5300, La Rioja",20-89875613-1,1
user_22,Felipe Alejo Cruz,pfernandez@example.com,"Blv. Merlo N° 8837 Oficina 65
Bahía Blanca 8000, Buenos Aires",27-93417363-0,0
user_23,Lola Diaz Lopez,bsosa@example.org,"Calle Rivadavia N° 3426 Oficina 2
Mar del Plata 7600, Buenos Aires",20-26714291-3,0
user_24,Francisco Guadalupe Lopez,blancobenjamin@example.com,"Camino 1 N° 447
La Rioja 5300, La Rioja",27-95172192-7,0
user_25,Victoria Blanco Lopez,ignacioroldan@example.net,"Diag. San Luis N° 573 Oficina 9
Mar del Plata 7600, Buenos Aires",23-82000296-2,1
user_26,Dr(a). Delfina Gutierrez,julianacruz@example.com,"Av. Saavedra N° 873
Bahía Blanca 8000, Buenos Aires",27-34897265-6,0
user_27,Sr(a). Lola Sosa,juan-pablo01@example.com,"Calle Neuquén N° 5035 Local 4
Rawson 9103, Chubut",23-85130819-9,0
user_28,Dr(a). Gino Gonzalez,lgimenez@example.com,"Av. Santiago del Estero N° 370 Dto. 9
Comodoro Rivadavia 9000, Chubut",20-41866478-9,0
user_29,Guillermina Sebastian Avila Paz,giulianagarcia@example.org,"Boulevard Bahía Blanca N° 39
San Juan 5400, San Juan",27-62361696-2,1
