ID_Usuario,Nombre_Completo,DNI,Direccion,Numero_Telefono,Correo_Electronico,Informacion_Bancaria,Historial_Medico,Fecha_Nacimiento,Preferencias_Compra,IP_Acceso,Contrasena_Hash
1,Dr(a). Guadalupe Soria,85638795,"Av. 5 N° 6590 Dto. 3
Paraná 3100, Entre Ríos",+54 9 3228 2837,valentincoronel@example.net,****-****-****-5712,Gripe,1969-11-04,Alimentos,55.82.251.154,4f893c0ed5b87148de41ecc39cb0b9da973f1c3b50cb3fe1a59e13653fcff22e
2,Lautaro Ezequiel Lautaro Cruz Gonzalez,66061119,"Diag. Jujuy N° 1678 Oficina 84
Posadas 3300, Misiones",+54 9 3573 6262,romeroaugusto@example.org,****-****-****-6430,Dolor de cabeza,1982-02-14,Electrónicos,31.10.92.159,b3f8a5c7f75a658c24f4cca2e24a3478c688b467a13bf81ff4c736d1fc88a348
3,Sr(a). Lautaro Coronel,25740473,"Av. Rivadavia N° 883 Torre 6 Dto. 8
San Juan 5400, San Juan",+54 9 3109 7996,maximorodriguez@example.com,****-****-****-4288,Ninguno,1986-04-01,Alimentos,7.42.150.230,a155c298299252ba7399edcece3924d44ad46059ddd18d4a0b5fd3b5a10c6682
4,Sr(a). Bautista Martinez,84077670,"Calle Ushuaia N° 259
San Juan 5400, San Juan",+54 9 3686 7008,juan-gabrielromero@example.org,****-****-****-4380,Ninguno,1997-08-23,Ropa,172.156.178.116,ead3c6851e221819e7eb7b5a6cf83a69dcd3de25296d432e1d6e20ae4c6b9ebd
5,Juan Pablo Ruiz Acosta,45678358,"Blv. Alvear N° 124 Local 18
Constitución 1004, Ciudad Autónoma de Buenos Aires",+54 9 3770 9128,kgodoy@example.com,****-****-****-5384,Dolor de cabeza,1994-01-05,Alimentos,223.229.20.181,77f8023cb3450ab1d980ee0ed684f1f75b1286037f3d80c0e4dbb3ce348e75b0
6,Benjamin Joaquin Maldonado Cruz,83066834,"Calle Río Negro N° 7399 Oficina 34
Comodoro Rivadavia 9000, Chubut",+54 15 2345 1695,maria-emilia87@example.org,****-****-****-7657,Gripe,1983-09-15,Alimentos,187.180.248.21,8e61b576b724deb92ee9e64a3ee2981de7069b3ea63be9e02e50229941fc6358
7,Maximo Francisca Gonzalez,17557105,"Calle Bahía Blanca N° 311 Local 78
Chilecito 5360, La Rioja",+54 9 3920 7303,dbenitez@example.com,****-****-****-1871,Gripe,1959-11-12,Alimentos,41.234.171.154,e12178c52ebd438dfa5b83347b73170be504a48d94566b6253a825f456358b48
8,Dr(a). Bruno Acosta,27857430,"Av. Neuquén N° 36
La Plata 1900, Buenos Aires",+54 15 2610 0007,brodriguez@example.net,****-****-****-7487,Dolor de cabeza,1984-03-22,Ropa,16.26.54.219,3d6f1f4bbd8c94a56c4df0eaf31a3d110cb0355070d702e12d51d402d7800265
9,Valentina Jazmin Cardozo Vazquez,70730823,"Camino 189 B N° 8850 Local 9
San Juan 5400, San Juan",+54 15 2522 9453,ambar77@example.com,****-****-****-7606,Dolor de cabeza,1979-09-14,Libros,204.198.118.110,3186fe30a801fc6e5126cddb3cd7fc663512b4108c598f631b43c33510faa799
10,Mia Pereyra,88101821,"Av. J.B. Alberdi N° 45
San Luis 5700, San Luis",+54 9 3937 9631,delfina96@example.org,****-****-****-5109,Gripe,1977-06-10,Alimentos,205.126.244.2,5fc92e1dc2f2578f3fc5ec70faff910ddee33e879c5665803b4f99abd6accff0
