Tipo,Descripcion,Monto,Fecha,Estado
Transacción Bancaria,Tiziano Lopez Fernandez,846.54,2024-11-21,Aprobado
Denuncia de Corrupción,Salvador Gonzalez Aguero,86.01,2024-11-09,Rechazado
Transacción Bancaria,Maria Victoria Mateo Valentin Gimenez,365.24,2024-06-16,Rechazado
Transacción Bancaria,Dr(a). Lola Arias,209.61,2024-10-07,Pendiente
Transacción Bancaria,Dr(a). Facundo Dominguez,948.24,2024-08-22,Rechazado
Denuncia de Corrupción,Mateo Vargas,97.85,2024-12-02,Rechazado
Denuncia de Corrupción,Santino Manuel Torres Pereyra,167.06,2025-01-05,Rechazado
Denuncia de Corrupción,Agustín Vazquez,469.82,2024-05-06,Pendiente
Transacción Bancaria,Mateo Benjamin Maite Vera Fernandez,361.68,2024-09-08,Rechazado
Denuncia de Corrupción,Federico Gonzalez Lopez,394.92,2024-09-12,Aprobado
Denuncia de Corrupción,Sofia Quiroga,213.59,2025-01-06,Aprobado
Denuncia de Corrupción,Justina Franco Perez Fernandez,287.66,2025-01-18,Pendiente
Transacción Bancaria,Josefina Lopez Castillo,494.63,2024-04-28,Rechazado
Transacción Bancaria,Dr(a). Bautista Coronel,635.58,2024-11-20,Aprobado
Transacción Bancaria,Valentino Bastian Gomez Rodriguez,293.14,2024-05-16,Aprobado
Denuncia de Corrupción,Morena Muñoz,704.56,2024-10-24,Pendiente
Denuncia de Corrupción,Ciro Bautista Martinez Rodriguez,775.33,2025-03-09,Pendiente
Denuncia de Corrupción,Luz Milagros Nahuel Peralta,996.14,2024-07-26,Aprobado
Denuncia de Corrupción,Benicio Agustín Herrera,498.74,2024-07-20,Aprobado
Transacción Bancaria,Jazmin Angelina Herrera Ortiz,497.25,2024-10-29,Pendiente
Transacción Bancaria,Isabella Martin Acuña,200.43,2024-10-14,Pendiente
Denuncia de Corrupción,Juan Pablo Joaquín Perez Benitez,609.16,2024-07-21,Rechazado
Denuncia de Corrupción,Angel Gabriel Vera,847.21,2024-06-27,Rechazado
Denuncia de Corrupción,Luisana Lopez Miranda,155.8,2024-08-01,Pendiente
Denuncia de Corrupción,Fausto Alvarez Garcia,222.95,2025-02-05,Pendiente
Transacción Bancaria,Camila Gomez Villalba,669.21,2024-11-06,Rechazado
Denuncia de Corrupción,Benjamin Alejo Castro Vera,257.33,2024-04-22,Pendiente
Denuncia de Corrupción,Dr(a). Nina Aguirre,849.54,2024-08-27,Aprobado
Denuncia de Corrupción,Valentino Juarez Martinez,338.86,2025-02-23,Pendiente
Transacción Bancaria,Simon Maria Victoria Mendoza Martinez,418.6,2024-06-30,Pendiente
